"global_step","20681888_hlg_1cubes_b8192_mb2048_lr1e-4 - _step","20681888_hlg_1cubes_b8192_mb2048_lr1e-4 - _step__MIN","20681888_hlg_1cubes_b8192_mb2048_lr1e-4 - _step__MAX","20681888_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last","20681888_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last__MIN","20681888_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last__MAX","20681887_hlg_1cubes_b8192_mb2048_lr1e-4 - _step","20681887_hlg_1cubes_b8192_mb2048_lr1e-4 - _step__MIN","20681887_hlg_1cubes_b8192_mb2048_lr1e-4 - _step__MAX","20681887_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last","20681887_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last__MIN","20681887_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last__MAX","20681886_hlg_1cubes_b8192_mb2048_lr1e-4 - _step","20681886_hlg_1cubes_b8192_mb2048_lr1e-4 - _step__MIN","20681886_hlg_1cubes_b8192_mb2048_lr1e-4 - _step__MAX","20681886_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last","20681886_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last__MIN","20681886_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last__MAX","20681885_hlg_1cubes_b8192_mb2048_lr1e-4 - _step","20681885_hlg_1cubes_b8192_mb2048_lr1e-4 - _step__MIN","20681885_hlg_1cubes_b8192_mb2048_lr1e-4 - _step__MAX","20681885_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last","20681885_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last__MIN","20681885_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last__MAX","20681884_hlg_1cubes_b8192_mb2048_lr1e-4 - _step","20681884_hlg_1cubes_b8192_mb2048_lr1e-4 - _step__MIN","20681884_hlg_1cubes_b8192_mb2048_lr1e-4 - _step__MAX","20681884_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last","20681884_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last__MIN","20681884_hlg_1cubes_b8192_mb2048_lr1e-4 - episodic_stats/failure_2_last__MAX","20676536_hlg_1cubes_b8192_mb2048_lr1e-3 - _step","20676536_hlg_1cubes_b8192_mb2048_lr1e-3 - _step__MIN","20676536_hlg_1cubes_b8192_mb2048_lr1e-3 - _step__MAX","20676536_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last","20676536_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last__MIN","20676536_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last__MAX","20676535_hlg_1cubes_b8192_mb2048_lr1e-3 - _step","20676535_hlg_1cubes_b8192_mb2048_lr1e-3 - _step__MIN","20676535_hlg_1cubes_b8192_mb2048_lr1e-3 - _step__MAX","20676535_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last","20676535_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last__MIN","20676535_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last__MAX","20676534_hlg_1cubes_b8192_mb2048_lr1e-3 - _step","20676534_hlg_1cubes_b8192_mb2048_lr1e-3 - _step__MIN","20676534_hlg_1cubes_b8192_mb2048_lr1e-3 - _step__MAX","20676534_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last","20676534_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last__MIN","20676534_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last__MAX","20676533_hlg_1cubes_b8192_mb2048_lr1e-3 - _step","20676533_hlg_1cubes_b8192_mb2048_lr1e-3 - _step__MIN","20676533_hlg_1cubes_b8192_mb2048_lr1e-3 - _step__MAX","20676533_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last","20676533_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last__MIN","20676533_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last__MAX","20676532_hlg_1cubes_b8192_mb2048_lr1e-3 - _step","20676532_hlg_1cubes_b8192_mb2048_lr1e-3 - _step__MIN","20676532_hlg_1cubes_b8192_mb2048_lr1e-3 - _step__MAX","20676532_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last","20676532_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last__MIN","20676532_hlg_1cubes_b8192_mb2048_lr1e-3 - episodic_stats/failure_2_last__MAX","20676530_hlg_1cubes_b8192_mb2048_lr2e-4 - _step","20676530_hlg_1cubes_b8192_mb2048_lr2e-4 - _step__MIN","20676530_hlg_1cubes_b8192_mb2048_lr2e-4 - _step__MAX","20676530_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last","20676530_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last__MIN","20676530_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last__MAX","20676529_hlg_1cubes_b8192_mb2048_lr2e-4 - _step","20676529_hlg_1cubes_b8192_mb2048_lr2e-4 - _step__MIN","20676529_hlg_1cubes_b8192_mb2048_lr2e-4 - _step__MAX","20676529_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last","20676529_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last__MIN","20676529_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last__MAX","20676528_hlg_1cubes_b8192_mb2048_lr2e-4 - _step","20676528_hlg_1cubes_b8192_mb2048_lr2e-4 - _step__MIN","20676528_hlg_1cubes_b8192_mb2048_lr2e-4 - _step__MAX","20676528_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last","20676528_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last__MIN","20676528_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last__MAX","20676527_hlg_1cubes_b8192_mb2048_lr2e-4 - _step","20676527_hlg_1cubes_b8192_mb2048_lr2e-4 - _step__MIN","20676527_hlg_1cubes_b8192_mb2048_lr2e-4 - _step__MAX","20676527_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last","20676527_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last__MIN","20676527_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last__MAX","20676526_hlg_1cubes_b8192_mb2048_lr2e-4 - _step","20676526_hlg_1cubes_b8192_mb2048_lr2e-4 - _step__MIN","20676526_hlg_1cubes_b8192_mb2048_lr2e-4 - _step__MAX","20676526_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last","20676526_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last__MIN","20676526_hlg_1cubes_b8192_mb2048_lr2e-4 - episodic_stats/failure_2_last__MAX"
"8192000","3","3","3","0.990234375","0.990234375","0.990234375","3","3","3","0.992431640625","0.992431640625","0.992431640625","3","3","3","0.9901123046875","0.9901123046875","0.9901123046875","3","3","3","0.98828125","0.98828125","0.98828125","3","3","3","0.9903564453125","0.9903564453125","0.9903564453125","3","3","3","0.98974609375","0.98974609375","0.98974609375","3","3","3","0.990234375","0.990234375","0.990234375","3","3","3","0.9901123046875","0.9901123046875","0.9901123046875","3","3","3","0.9898681640625","0.9898681640625","0.9898681640625","3","3","3","0.99072265625","0.99072265625","0.99072265625","3","3","3","0.9918212890625","0.9918212890625","0.9918212890625","3","3","3","0.988525390625","0.988525390625","0.988525390625","3","3","3","0.9913330078125","0.9913330078125","0.9913330078125","3","3","3","0.99169921875","0.99169921875","0.99169921875","3","3","3","0.9903564453125","0.9903564453125","0.9903564453125"
"16384000","4","4","4","0.9903564453125","0.9903564453125","0.9903564453125","4","4","4","0.991455078125","0.991455078125","0.991455078125","4","4","4","0.992431640625","0.992431640625","0.992431640625","4","4","4","0.9910888671875","0.9910888671875","0.9910888671875","4","4","4","0.990966796875","0.990966796875","0.990966796875","4","4","4","0.9918212890625","0.9918212890625","0.9918212890625","4","4","4","0.9898681640625","0.9898681640625","0.9898681640625","4","4","4","0.990966796875","0.990966796875","0.990966796875","4","4","4","0.9903564453125","0.9903564453125","0.9903564453125","4","4","4","0.9903564453125","0.9903564453125","0.9903564453125","4","4","4","0.9891357421875","0.9891357421875","0.9891357421875","4","4","4","0.9898681640625","0.9898681640625","0.9898681640625","4","4","4","0.992431640625","0.992431640625","0.992431640625","4","4","4","0.990234375","0.990234375","0.990234375","4","4","4","0.9896240234375","0.9896240234375","0.9896240234375"
"24576000","6","6","6","0.9898681640625","0.9898681640625","0.9898681640625","6","6","6","0.9896240234375","0.9896240234375","0.9896240234375","6","6","6","0.990478515625","0.990478515625","0.990478515625","6","6","6","0.990234375","0.990234375","0.990234375","6","6","6","0.9879150390625","0.9879150390625","0.9879150390625","6","6","6","0.9910888671875","0.9910888671875","0.9910888671875","6","6","6","0.98828125","0.98828125","0.98828125","6","6","6","0.9910888671875","0.9910888671875","0.9910888671875","6","6","6","0.9893798828125","0.9893798828125","0.9893798828125","6","6","6","0.9913330078125","0.9913330078125","0.9913330078125","6","6","6","0.987548828125","0.987548828125","0.987548828125","6","6","6","0.989501953125","0.989501953125","0.989501953125","6","6","6","0.9898681640625","0.9898681640625","0.9898681640625","6","6","6","0.9888916015625","0.9888916015625","0.9888916015625","6","6","6","0.9886474609375","0.9886474609375","0.9886474609375"
"32768000","7","7","7","0.9893798828125","0.9893798828125","0.9893798828125","7","7","7","0.9913330078125","0.9913330078125","0.9913330078125","7","7","7","0.9893798828125","0.9893798828125","0.9893798828125","7","7","7","0.9884033203125","0.9884033203125","0.9884033203125","7","7","7","0.98974609375","0.98974609375","0.98974609375","7","7","7","0.9918212890625","0.9918212890625","0.9918212890625","7","7","7","0.9906005859375","0.9906005859375","0.9906005859375","7","7","7","0.9908447265625","0.9908447265625","0.9908447265625","7","7","7","0.9886474609375","0.9886474609375","0.9886474609375","7","7","7","0.990966796875","0.990966796875","0.990966796875","7","7","7","0.9842529296875","0.9842529296875","0.9842529296875","7","7","7","0.989501953125","0.989501953125","0.989501953125","7","7","7","0.989990234375","0.989990234375","0.989990234375","7","7","7","0.9893798828125","0.9893798828125","0.9893798828125","7","7","7","0.988037109375","0.988037109375","0.988037109375"
"40960000","8","8","8","0.9874267578125","0.9874267578125","0.9874267578125","8","8","8","0.9881591796875","0.9881591796875","0.9881591796875","8","8","8","0.9871826171875","0.9871826171875","0.9871826171875","8","8","8","0.9869384765625","0.9869384765625","0.9869384765625","8","8","8","0.9837646484375","0.9837646484375","0.9837646484375","8","8","8","0.9884033203125","0.9884033203125","0.9884033203125","8","8","8","0.99072265625","0.99072265625","0.99072265625","8","8","8","0.990478515625","0.990478515625","0.990478515625","8","8","8","0.988525390625","0.988525390625","0.988525390625","8","8","8","0.9896240234375","0.9896240234375","0.9896240234375","8","8","8","0.985595703125","0.985595703125","0.985595703125","8","8","8","0.9859619140625","0.9859619140625","0.9859619140625","8","8","8","0.989501953125","0.989501953125","0.989501953125","8","8","8","0.98388671875","0.98388671875","0.98388671875","8","8","8","0.9884033203125","0.9884033203125","0.9884033203125"
"49152000","10","10","10","0.98779296875","0.98779296875","0.98779296875","10","10","10","0.98828125","0.98828125","0.98828125","10","10","10","0.9873046875","0.9873046875","0.9873046875","10","10","10","0.984375","0.984375","0.984375","10","10","10","0.9873046875","0.9873046875","0.9873046875","10","10","10","0.989990234375","0.989990234375","0.989990234375","10","10","10","0.990234375","0.990234375","0.990234375","10","10","10","0.9901123046875","0.9901123046875","0.9901123046875","10","10","10","0.987548828125","0.987548828125","0.987548828125","10","10","10","0.9891357421875","0.9891357421875","0.9891357421875","10","10","10","0.9884033203125","0.9884033203125","0.9884033203125","10","10","10","0.988037109375","0.988037109375","0.988037109375","10","10","10","0.98828125","0.98828125","0.98828125","10","10","10","0.98388671875","0.98388671875","0.98388671875","10","10","10","0.983642578125","0.983642578125","0.983642578125"
"57344000","11","11","11","0.9849853515625","0.9849853515625","0.9849853515625","11","11","11","0.9859619140625","0.9859619140625","0.9859619140625","11","11","11","0.98291015625","0.98291015625","0.98291015625","11","11","11","0.9840087890625","0.9840087890625","0.9840087890625","11","11","11","0.9852294921875","0.9852294921875","0.9852294921875","11","11","11","0.989013671875","0.989013671875","0.989013671875","11","11","11","0.989501953125","0.989501953125","0.989501953125","11","11","11","0.990234375","0.990234375","0.990234375","11","11","11","0.9847412109375","0.9847412109375","0.9847412109375","11","11","11","0.986328125","0.986328125","0.986328125","11","11","11","0.983154296875","0.983154296875","0.983154296875","11","11","11","0.9840087890625","0.9840087890625","0.9840087890625","11","11","11","0.9857177734375","0.9857177734375","0.9857177734375","11","11","11","0.98291015625","0.98291015625","0.98291015625","11","11","11","0.9869384765625","0.9869384765625","0.9869384765625"
"65536000","13","13","13","0.984375","0.984375","0.984375","13","13","13","0.9849853515625","0.9849853515625","0.9849853515625","13","13","13","0.981689453125","0.981689453125","0.981689453125","13","13","13","0.9815673828125","0.9815673828125","0.9815673828125","13","13","13","0.9791259765625","0.9791259765625","0.9791259765625","13","13","13","0.9893798828125","0.9893798828125","0.9893798828125","13","13","13","0.986572265625","0.986572265625","0.986572265625","13","13","13","0.990234375","0.990234375","0.990234375","13","13","13","0.9886474609375","0.9886474609375","0.9886474609375","13","13","13","0.98876953125","0.98876953125","0.98876953125","13","13","13","0.9833984375","0.9833984375","0.9833984375","13","13","13","0.976806640625","0.976806640625","0.976806640625","13","13","13","0.9808349609375","0.9808349609375","0.9808349609375","13","13","13","0.9779052734375","0.9779052734375","0.9779052734375","13","13","13","0.9825439453125","0.9825439453125","0.9825439453125"
"73728000","14","14","14","0.9833984375","0.9833984375","0.9833984375","14","14","14","0.987060546875","0.987060546875","0.987060546875","14","14","14","0.982421875","0.982421875","0.982421875","14","14","14","0.982177734375","0.982177734375","0.982177734375","14","14","14","0.979248046875","0.979248046875","0.979248046875","14","14","14","0.9910888671875","0.9910888671875","0.9910888671875","14","14","14","0.9873046875","0.9873046875","0.9873046875","14","14","14","0.9892578125","0.9892578125","0.9892578125","14","14","14","0.9879150390625","0.9879150390625","0.9879150390625","14","14","14","0.9862060546875","0.9862060546875","0.9862060546875","14","14","14","0.973388671875","0.973388671875","0.973388671875","14","14","14","0.96630859375","0.96630859375","0.96630859375","14","14","14","0.976318359375","0.976318359375","0.976318359375","14","14","14","0.96044921875","0.96044921875","0.96044921875","14","14","14","0.97509765625","0.97509765625","0.97509765625"
"81920000","15","15","15","0.978759765625","0.978759765625","0.978759765625","15","15","15","0.9815673828125","0.9815673828125","0.9815673828125","15","15","15","0.978759765625","0.978759765625","0.978759765625","15","15","15","0.978515625","0.978515625","0.978515625","15","15","15","0.97216796875","0.97216796875","0.97216796875","15","15","15","0.9881591796875","0.9881591796875","0.9881591796875","15","15","15","0.989501953125","0.989501953125","0.989501953125","15","15","15","0.990234375","0.990234375","0.990234375","15","15","15","0.9898681640625","0.9898681640625","0.9898681640625","15","15","15","0.9847412109375","0.9847412109375","0.9847412109375","15","15","15","0.958251953125","0.958251953125","0.958251953125","15","15","15","0.94384765625","0.94384765625","0.94384765625","15","15","15","0.966796875","0.966796875","0.966796875","15","15","15","0.9317626953125","0.9317626953125","0.9317626953125","15","15","15","0.9561767578125","0.9561767578125","0.9561767578125"
