"global_step","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step__MIN","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step__MAX","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step__MIN","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step__MAX","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step__MIN","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step__MAX","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step__MIN","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step__MAX","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step__MIN","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step__MAX","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step__MIN","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step__MAX","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step__MIN","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step__MAX","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last__MAX"
"1024000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","0.9923828125","0.98828125","0.994140625","","","","","",""
"2048000","","","","","","","","","","","","","","","","","","","3","3","3","0.99072265625","0.9873046875","0.99462890625","","","","","","","4","4","4","0.989453125","0.9853515625","0.9951171875","","","","","",""
"3072000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","0.9921875","0.9892578125","0.9951171875","","","","","",""
"4096000","","","","","","","","","","","","","","","","","","","4","4","4","0.989453125","0.9853515625","0.99169921875","3","3","3","0.989990234375","0.987548828125","0.9921875","7","7","7","0.9904296875","0.98828125","0.994140625","","","","","",""
"5120000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","0.9900390625","0.9873046875","0.9921875","","","","","",""
"6144000","","","","","","","","","","","","","","","","","","","6","6","6","0.99091796875","0.98876953125","0.994140625","","","","","","","10","10","10","0.991796875","0.9873046875","0.994140625","","","","","",""
"7168000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","0.9876953125","0.982421875","0.9912109375","","","","","",""
"8192000","3","3","3","0.99085693359375","0.9893798828125","0.9920654296875","3","3","3","0.9901611328125","0.9874267578125","0.9915771484375","3","3","3","0.99072265625","0.9903564453125","0.9913330078125","7","7","7","0.99013671875","0.98828125","0.99169921875","4","4","4","0.99052734375","0.98828125","0.992431640625","13","13","13","0.9880859375","0.9833984375","0.9951171875","3","3","3","0.99080810546875","0.989013671875","0.9921875"
"9216000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","0.9876953125","0.982421875","0.9921875","","","","","",""
"10240000","","","","","","","","","","","","","","","","","","","8","8","8","0.99013671875","0.98779296875","0.99169921875","","","","","","","15","15","15","0.990625","0.9853515625","0.9931640625","","","","","",""
"11264000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","17","17","0.9857421875","0.98046875","0.990234375","","","","","",""
"12288000","","","","","","","","","","","","","","","","","","","10","10","10","0.98798828125","0.984375","0.99462890625","6","6","6","0.990185546875","0.989013671875","0.991943359375","18","18","18","0.9880859375","0.9814453125","0.9951171875","","","","","",""
"14336000","","","","","","","","","","","","","","","","","","","11","11","11","0.98837890625","0.98486328125","0.98974609375","","","","","","","21","21","21","0.9857421875","0.98046875","0.9892578125","","","","","",""
"15360000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","22","22","0.9833984375","0.9794921875","0.9873046875","","","","","",""
"16384000","4","4","4","0.99080810546875","0.9893798828125","0.9921875","4","4","4","0.9905517578125","0.989013671875","0.99169921875","4","4","4","0.9905517578125","0.9893798828125","0.990966796875","13","13","13","0.987890625","0.986328125","0.9921875","7","7","7","0.988134765625","0.9853515625","0.99365234375","24","24","24","0.98515625","0.9794921875","0.990234375","4","4","4","0.99114990234375","0.9888916015625","0.9932861328125"
"17408000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","0.984765625","0.9814453125","0.9892578125","","","","","",""
"18432000","","","","","","","","","","","","","","","","","","","14","14","14","0.988671875","0.98681640625","0.9921875","","","","","","","","","","","","","","","","","",""
"19456000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","28","28","0.9794921875","0.9736328125","0.984375","","","","","",""
"20480000","","","","","","","","","","","","","","","","","","","15","15","15","0.98466796875","0.9775390625","0.98974609375","8","8","8","0.988623046875","0.988037109375","0.989501953125","29","29","29","0.979296875","0.97265625","0.9833984375","","","","","",""
