"global_step","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MIN","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MAX","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MIN","22231421_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MAX","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MIN","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MAX","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MIN","22231420_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MAX","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MIN","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MAX","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MIN","22231419_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MAX","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MIN","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MAX","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MIN","22231418_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MAX","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MIN","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - _step__MAX","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MIN","22231417_hlg_1cubes_b1024_mb512_lr1e-4_w2048_cr - episodic_stats/failure_2_last__MAX","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MIN","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MAX","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MIN","22231416_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MAX","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MIN","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MAX","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MIN","22231415_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MAX","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MIN","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MAX","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MIN","22231414_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MAX","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MIN","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MAX","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MIN","22231413_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MAX","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MIN","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - _step__MAX","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MIN","22231412_hlg_1cubes_b1024_mb512_lr5e-5_w2048_cr - episodic_stats/failure_2_last__MAX"
"1024000","3","3","3","0.9912109375","0.9912109375","0.9912109375","3","3","3","0.990234375","0.990234375","0.990234375","3","3","3","0.9970703125","0.9970703125","0.9970703125","3","3","3","0.990234375","0.990234375","0.990234375","3","3","3","0.986328125","0.986328125","0.986328125","3","3","3","0.9921875","0.9921875","0.9921875","3","3","3","0.990234375","0.990234375","0.990234375","3","3","3","0.9921875","0.9921875","0.9921875","3","3","3","0.99609375","0.99609375","0.99609375","3","3","3","0.994140625","0.994140625","0.994140625"
"2048000","4","4","4","0.9921875","0.9921875","0.9921875","4","4","4","0.9951171875","0.9951171875","0.9951171875","4","4","4","0.98828125","0.98828125","0.98828125","4","4","4","0.990234375","0.990234375","0.990234375","4","4","4","0.9873046875","0.9873046875","0.9873046875","4","4","4","0.9892578125","0.9892578125","0.9892578125","4","4","4","0.994140625","0.994140625","0.994140625","4","4","4","0.9853515625","0.9853515625","0.9853515625","4","4","4","0.994140625","0.994140625","0.994140625","4","4","4","0.9951171875","0.9951171875","0.9951171875"
"3072000","6","6","6","0.986328125","0.986328125","0.986328125","6","6","6","0.984375","0.984375","0.984375","6","6","6","0.9912109375","0.9912109375","0.9912109375","6","6","6","0.9951171875","0.9951171875","0.9951171875","6","6","6","0.990234375","0.990234375","0.990234375","6","6","6","0.9853515625","0.9853515625","0.9853515625","6","6","6","0.994140625","0.994140625","0.994140625","6","6","6","0.9892578125","0.9892578125","0.9892578125","6","6","6","0.9912109375","0.9912109375","0.9912109375","6","6","6","0.990234375","0.990234375","0.990234375"
"4096000","7","7","7","0.9912109375","0.9912109375","0.9912109375","7","7","7","0.9873046875","0.9873046875","0.9873046875","7","7","7","0.990234375","0.990234375","0.990234375","7","7","7","0.98828125","0.98828125","0.98828125","7","7","7","0.990234375","0.990234375","0.990234375","7","7","7","0.984375","0.984375","0.984375","7","7","7","0.9892578125","0.9892578125","0.9892578125","7","7","7","0.99609375","0.99609375","0.99609375","7","7","7","0.984375","0.984375","0.984375","7","7","7","0.9853515625","0.9853515625","0.9853515625"
"5120000","8","8","8","0.986328125","0.986328125","0.986328125","8","8","8","0.9892578125","0.9892578125","0.9892578125","8","8","8","0.9921875","0.9921875","0.9921875","8","8","8","0.9892578125","0.9892578125","0.9892578125","8","8","8","0.9931640625","0.9931640625","0.9931640625","8","8","8","0.9951171875","0.9951171875","0.9951171875","8","8","8","0.98828125","0.98828125","0.98828125","8","8","8","0.9921875","0.9921875","0.9921875","8","8","8","0.98828125","0.98828125","0.98828125","8","8","8","0.9912109375","0.9912109375","0.9912109375"
"6144000","10","10","10","0.9873046875","0.9873046875","0.9873046875","10","10","10","0.9912109375","0.9912109375","0.9912109375","10","10","10","0.9921875","0.9921875","0.9921875","10","10","10","0.9921875","0.9921875","0.9921875","10","10","10","0.9892578125","0.9892578125","0.9892578125","10","10","10","0.9853515625","0.9853515625","0.9853515625","10","10","10","0.9892578125","0.9892578125","0.9892578125","10","10","10","0.9892578125","0.9892578125","0.9892578125","10","10","10","0.9873046875","0.9873046875","0.9873046875","10","10","10","0.9892578125","0.9892578125","0.9892578125"
"7168000","11","11","11","0.98828125","0.98828125","0.98828125","11","11","11","0.990234375","0.990234375","0.990234375","11","11","11","0.98828125","0.98828125","0.98828125","11","11","11","0.98828125","0.98828125","0.98828125","11","11","11","0.984375","0.984375","0.984375","11","11","11","0.9921875","0.9921875","0.9921875","11","11","11","0.984375","0.984375","0.984375","11","11","11","0.990234375","0.990234375","0.990234375","11","11","11","0.9912109375","0.9912109375","0.9912109375","11","11","11","0.986328125","0.986328125","0.986328125"
"8192000","13","13","13","0.986328125","0.986328125","0.986328125","13","13","13","0.9912109375","0.9912109375","0.9912109375","13","13","13","0.9873046875","0.9873046875","0.9873046875","13","13","13","0.9912109375","0.9912109375","0.9912109375","13","13","13","0.9853515625","0.9853515625","0.9853515625","13","13","13","0.986328125","0.986328125","0.986328125","13","13","13","0.98046875","0.98046875","0.98046875","13","13","13","0.990234375","0.990234375","0.990234375","13","13","13","0.9912109375","0.9912109375","0.9912109375","13","13","13","0.9892578125","0.9892578125","0.9892578125"
"9216000","14","14","14","0.9794921875","0.9794921875","0.9794921875","14","14","14","0.9873046875","0.9873046875","0.9873046875","14","14","14","0.986328125","0.986328125","0.986328125","14","14","14","0.9814453125","0.9814453125","0.9814453125","14","14","14","0.98828125","0.98828125","0.98828125","14","14","14","0.9833984375","0.9833984375","0.9833984375","14","14","14","0.9833984375","0.9833984375","0.9833984375","14","14","14","0.9833984375","0.9833984375","0.9833984375","14","14","14","0.9873046875","0.9873046875","0.9873046875","14","14","14","0.9892578125","0.9892578125","0.9892578125"
"10240000","15","15","15","0.9814453125","0.9814453125","0.9814453125","15","15","15","0.986328125","0.986328125","0.986328125","15","15","15","0.98046875","0.98046875","0.98046875","15","15","15","0.98828125","0.98828125","0.98828125","15","15","15","0.986328125","0.986328125","0.986328125","15","15","15","0.9833984375","0.9833984375","0.9833984375","15","15","15","0.970703125","0.970703125","0.970703125","15","15","15","0.990234375","0.990234375","0.990234375","15","15","15","0.9873046875","0.9873046875","0.9873046875","15","15","15","0.98828125","0.98828125","0.98828125"
