"global_step","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX"
"2048000","3","3","3","0.99072265625","0.99072265625","0.99072265625","3","3","3","0.98974609375","0.98974609375","0.98974609375","3","3","3","0.98974609375","0.98974609375","0.98974609375","3","3","3","0.99169921875","0.99169921875","0.99169921875","3","3","3","0.9931640625","0.9931640625","0.9931640625","3","3","3","0.994140625","0.994140625","0.994140625","3","3","3","0.994140625","0.994140625","0.994140625","3","3","3","0.990234375","0.990234375","0.990234375","3","3","3","0.98828125","0.98828125","0.98828125","3","3","3","0.98583984375","0.98583984375","0.98583984375"
"4096000","4","4","4","0.9921875","0.9921875","0.9921875","4","4","4","0.99072265625","0.99072265625","0.99072265625","4","4","4","0.9912109375","0.9912109375","0.9912109375","4","4","4","0.9931640625","0.9931640625","0.9931640625","4","4","4","0.990234375","0.990234375","0.990234375","4","4","4","0.986328125","0.986328125","0.986328125","4","4","4","0.9892578125","0.9892578125","0.9892578125","4","4","4","0.99169921875","0.99169921875","0.99169921875","4","4","4","0.98828125","0.98828125","0.98828125","4","4","4","0.98974609375","0.98974609375","0.98974609375"
"6144000","6","6","6","0.994140625","0.994140625","0.994140625","6","6","6","0.99365234375","0.99365234375","0.99365234375","6","6","6","0.99072265625","0.99072265625","0.99072265625","6","6","6","0.984375","0.984375","0.984375","6","6","6","0.99169921875","0.99169921875","0.99169921875","6","6","6","0.9912109375","0.9912109375","0.9912109375","6","6","6","0.9921875","0.9921875","0.9921875","6","6","6","0.99169921875","0.99169921875","0.99169921875","6","6","6","0.98779296875","0.98779296875","0.98779296875","6","6","6","0.9873046875","0.9873046875","0.9873046875"
"8192000","7","7","7","0.9853515625","0.9853515625","0.9853515625","7","7","7","0.99267578125","0.99267578125","0.99267578125","7","7","7","0.98486328125","0.98486328125","0.98486328125","7","7","7","0.99072265625","0.99072265625","0.99072265625","7","7","7","0.98779296875","0.98779296875","0.98779296875","7","7","7","0.98828125","0.98828125","0.98828125","7","7","7","0.990234375","0.990234375","0.990234375","7","7","7","0.99169921875","0.99169921875","0.99169921875","7","7","7","0.9912109375","0.9912109375","0.9912109375","7","7","7","0.9921875","0.9921875","0.9921875"
"10240000","8","8","8","0.99169921875","0.99169921875","0.99169921875","8","8","8","0.98779296875","0.98779296875","0.98779296875","8","8","8","0.98486328125","0.98486328125","0.98486328125","8","8","8","0.9833984375","0.9833984375","0.9833984375","8","8","8","0.98779296875","0.98779296875","0.98779296875","8","8","8","0.990234375","0.990234375","0.990234375","8","8","8","0.98486328125","0.98486328125","0.98486328125","8","8","8","0.98486328125","0.98486328125","0.98486328125","8","8","8","0.994140625","0.994140625","0.994140625","8","8","8","0.98876953125","0.98876953125","0.98876953125"
"12288000","10","10","10","0.98974609375","0.98974609375","0.98974609375","10","10","10","0.98974609375","0.98974609375","0.98974609375","10","10","10","0.98779296875","0.98779296875","0.98779296875","10","10","10","0.990234375","0.990234375","0.990234375","10","10","10","0.9833984375","0.9833984375","0.9833984375","10","10","10","0.99072265625","0.99072265625","0.99072265625","10","10","10","0.98974609375","0.98974609375","0.98974609375","10","10","10","0.98876953125","0.98876953125","0.98876953125","10","10","10","0.9892578125","0.9892578125","0.9892578125","10","10","10","0.9892578125","0.9892578125","0.9892578125"
"14336000","11","11","11","0.9921875","0.9921875","0.9921875","11","11","11","0.9853515625","0.9853515625","0.9853515625","11","11","11","0.98583984375","0.98583984375","0.98583984375","11","11","11","0.9873046875","0.9873046875","0.9873046875","11","11","11","0.98974609375","0.98974609375","0.98974609375","11","11","11","0.98876953125","0.98876953125","0.98876953125","11","11","11","0.98388671875","0.98388671875","0.98388671875","11","11","11","0.982421875","0.982421875","0.982421875","11","11","11","0.98828125","0.98828125","0.98828125","11","11","11","0.9912109375","0.9912109375","0.9912109375"
"16384000","13","13","13","0.98779296875","0.98779296875","0.98779296875","13","13","13","0.990234375","0.990234375","0.990234375","13","13","13","0.9814453125","0.9814453125","0.9814453125","13","13","13","0.986328125","0.986328125","0.986328125","13","13","13","0.9833984375","0.9833984375","0.9833984375","13","13","13","0.986328125","0.986328125","0.986328125","13","13","13","0.98583984375","0.98583984375","0.98583984375","13","13","13","0.98388671875","0.98388671875","0.98388671875","13","13","13","0.978515625","0.978515625","0.978515625","13","13","13","0.99072265625","0.99072265625","0.99072265625"
"18432000","14","14","14","0.982421875","0.982421875","0.982421875","14","14","14","0.9833984375","0.9833984375","0.9833984375","14","14","14","0.98681640625","0.98681640625","0.98681640625","14","14","14","0.9873046875","0.9873046875","0.9873046875","14","14","14","0.982421875","0.982421875","0.982421875","14","14","14","0.98681640625","0.98681640625","0.98681640625","14","14","14","0.98046875","0.98046875","0.98046875","14","14","14","0.9833984375","0.9833984375","0.9833984375","14","14","14","0.9873046875","0.9873046875","0.9873046875","14","14","14","0.98486328125","0.98486328125","0.98486328125"
"20480000","15","15","15","0.98291015625","0.98291015625","0.98291015625","15","15","15","0.98876953125","0.98876953125","0.98876953125","15","15","15","0.97998046875","0.97998046875","0.97998046875","15","15","15","0.98388671875","0.98388671875","0.98388671875","15","15","15","0.9833984375","0.9833984375","0.9833984375","15","15","15","0.9873046875","0.9873046875","0.9873046875","15","15","15","0.986328125","0.986328125","0.986328125","15","15","15","0.9794921875","0.9794921875","0.9794921875","15","15","15","0.9873046875","0.9873046875","0.9873046875","15","15","15","0.9853515625","0.9853515625","0.9853515625"
